Year	President	Party	_
1790	George Washington	Federalist	_
1790-2	George Washington	Federalist	_
1791	George Washington	Federalist	_
1792	George Washington	Federalist	_
1793	George Washington	Federalist	_
1794	George Washington	Federalist	_
1795	George Washington	Federalist	_
1796	George Washington	Federalist	_
1797	John Adams	Federalist	_
1798	John Adams	Federalist	_
1799	John Adams	Federalist	_
1800	John Adams	Federalist	_
1801	Thomas Jefferson	Democratic-republican	_
1802	Thomas Jefferson	Democratic-republican	_
1803	Thomas Jefferson	Democratic-republican	_
1804	Thomas Jefferson	Democratic-republican	_
1805	Thomas Jefferson	Democratic-republican	_
1806	Thomas Jefferson	Democratic-republican	_
1807	Thomas Jefferson	Democratic-republican	_
1808	Thomas Jefferson	Democratic-republican	_
1809	James Madison	Democratic-republican	_
1810	James Madison	Democratic-republican	_
1811	James Madison	Democratic-republican	_
1812	James Madison	Democratic-republican	_
1813	James Madison	Democratic-republican	_
1814	James Madison	Democratic-republican	_
1815	James Madison	Democratic-republican	_
1816	James Madison	Democratic-republican	_
1817	James Monroe	Democratic-republican	_
1818	James Monroe	Democratic-republican	_
1819	James Monroe	Democratic-republican	_
1820	James Monroe	Democratic-republican	_
1821	James Monroe	Democratic-republican	_
1822	James Monroe	Democratic-republican	_
1823	James Monroe	Democratic-republican	_
1824	James Monroe	Democratic-republican	_
1825	John Quincy Adams	Democratic-republican	_
1826	John Quincy Adams	Democratic-republican	_
1827	John Quincy Adams	Democratic-republican	_
1828	John Quincy Adams	Democratic-republican	_
1829	Andrew Jackson	Democratic	_
1830	Andrew Jackson	Democratic	_
1831	Andrew Jackson	Democratic	_
1832	Andrew Jackson	Democratic	_
1833	Andrew Jackson	Democratic	_
1834	Andrew Jackson	Democratic	_
1835	Andrew Jackson	Democratic	_
1836	Andrew Jackson	Democratic	_
1837	Martin Van Buren	Democratic	_
1838	Martin Van Buren	Democratic	_
1839	Martin Van Buren	Democratic	_
1840	Martin Van Buren	Democratic	_
1841	John Tyler	Whig	_
1842	John Tyler	Whig	_
1843	John Tyler	Whig	_
1844	John Tyler	Whig	_
1845	James K. Polk	Democratic	_
1846	James K. Polk	Democratic	_
1847	James K. Polk	Democratic	_
1848	James K. Polk	Democratic	_
1849	Zachary Taylor	Whig	_
1850	Millard Fillmore	Whig	_
1851	Millard Fillmore	Whig	_
1852	Millard Fillmore	Whig	_
1853	Franklin Pierce	Democratic	_
1854	Franklin Pierce	Democratic	_
1855	Franklin Pierce	Democratic	_
1856	Franklin Pierce	Democratic	_
1857	James Buchanan	Democratic	_
1858	James Buchanan	Democratic	_
1859	James Buchanan	Democratic	_
1860	James Buchanan	Democratic	_
1861	Abraham Lincoln	Republican	_
1862	Abraham Lincoln	Republican	_
1863	Abraham Lincoln	Republican	_
1864	Abraham Lincoln	Republican	_
1865	Andrew Johnson	Democratic	_
1866	Andrew Johnson	Democratic	_
1867	Andrew Johnson	Democratic	_
1868	Andrew Johnson	Democratic	_
1869	Ulysses S. Grant	Republican	_
1870	Ulysses S. Grant	Republican	_
1871	Ulysses S. Grant	Republican	_
